Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Afghanistan,187037,7752,167226.0,12059.0,4589.0,190.0,1036084.0,25421.0,40757536.0
Albania,315337,3554,301444.0,10339.0,109826.0,1238.0,1869495.0,651110.0,2871244.0
Algeria,267902,6877,179788.0,81237.0,5888.0,151.0,230861.0,5074.0,45503155.0
Andorra,45793,154,45401.0,238.0,590702.0,1987.0,249838.0,3222760.0,77523.0
Angola,102301,1912,97149.0,3240.0,2923.0,55.0,1499795.0,42852.0,34999407.0
Antigua and Barbuda,8773,144,8597.0,32.0,88064.0,1445.0,18901.0,189729.0,99621.0
Argentina,9560307,129369,9313797.0,117141.0,207558.0,2809.0,35716069.0,775408.0,46061000.0
Armenia,426799,8635,412661.0,5503.0,143472.0,2903.0,3109931.0,1045427.0,2974795.0
Aruba,42217,226,41663.0,328.0,391943.0,2098.0,177885.0,1651487.0,107712.0
Australia,9586984,12201,9224255.0,350528.0,367076.0,467.0,76745533.0,2938509.0,26117164.0
Austria,4776787,19177,4669036.0,88574.0,524138.0,2104.0,193830947.0,21268325.0,9113597.0
Azerbaijan,800478,9755,787839.0,2884.0,77492.0,944.0,7058973.0,683358.0,10329837.0
Bahamas,36776,822,35425.0,529.0,91692.0,2049.0,241422.0,601925.0,401083.0
Bahrain,661570,1511,656045.0,4014.0,362507.0,828.0,10186122.0,5581480.0,1824986.0
Bangladesh,2006646,29300,1945829.0,31517.0,11936.0,174.0,14630751.0,87030.0,168112481.0
Barbados,93559,496,90202.0,2861.0,324735.0,1722.0,731869.0,2540250.0,288109.0
Belarus,994037,7118,985592.0,1327.0,105269.0,754.0,13646641.0,1445184.0,9442841.0
Belgium,4425201,32263,4242894.0,150044.0,378389.0,2759.0,35042202.0,2996383.0,11694836.0
Belize,67309,680,66308.0,321.0,163099.0,1648.0,576016.0,1395763.0,412689.0
Benin,27316,163,25506.0,1647.0,2136.0,13.0,604310.0,47264.0,12785725.0
Bermuda,17356,148,17012.0,196.0,280851.0,2395.0,971291.0,15717191.0,61798.0
Bhutan,60530,21,60434.0,75.0,76685.0,27.0,2303734.0,2918579.0,789334.0
Bolivia,1056378,22083,960401.0,73894.0,87993.0,1839.0,2705422.0,225354.0,12005235.0
Bosnia and Herzegovina,387076,15888,,,119532.0,4906.0,1819216.0,561786.0,3238275.0
Botswana,325724,2772,322758.0,194.0,132911.0,1131.0,2026898.0,827071.0,2450695.0
Brazil,33964494,679594,32643157.0,641743.0,157453.0,3150.0,63776166.0,295655.0,215711507.0
British Virgin Islands,7131,63,,,232651.0,2055.0,105790.0,3451437.0,30651.0
Brunei,211132,225,205773.0,5134.0,473159.0,504.0,717784.0,1608595.0,446218.0
Bulgaria,1214925,37424,1151182.0,26319.0,177636.0,5472.0,10294585.0,1505187.0,6839408.0
Burkina Faso,21128,387,20439.0,302.0,956.0,18.0,248995.0,11267.0,22099191.0
Burundi,46275,38,,,3664.0,3.0,345742.0,27375.0,12629687.0
CAR,14772,113,6859.0,7800.0,2951.0,23.0,81294.0,16243.0,5004971.0
Cabo Verde,62191,410,61671.0,110.0,109378.0,721.0,401622.0,706352.0,568586.0
Cambodia,136959,3056,133640.0,263.0,7962.0,178.0,3024329.0,175816.0,17201719.0
Cameroon,120215,1931,117791.0,493.0,4305.0,69.0,1751774.0,62732.0,27924550.0
Canada,4056133,42681,,,105539.0,1111.0,62586673.0,1628482.0,38432524.0
Caribbean Netherlands,10888,35,10476.0,377.0,407302.0,1309.0,30126.0,1126964.0,26732.0
Cayman Islands,29419,29,8553.0,20837.0,436924.0,431.0,222773.0,3308575.0,67332.0
Chad,7437,193,4874.0,2370.0,427.0,11.0,191341.0,10991.0,17409288.0
Channel Islands,88529,195,87553.0,781.0,499582.0,1100.0,1252808.0,7069783.0,177206.0
Chile,4274613,59698,3975681.0,239234.0,219678.0,3068.0,42263427.0,2171974.0,19458534.0
